Startup Name,Year,TotalFunding_USD,DealsCount
BYJU'S,2019.0,150000000.0,1
#Fame,2015.0,10000000.0,1
121Policy,2016.0,0.0,0
19th mile,2018.0,180000.0,1
1Crowd,2017.0,0.0,0
1mg,2016.0,15000000.0,1
1mg,2017.0,15000000.0,1
1mg,2018.0,10000000.0,1
1mg (Healthkartplus),2015.0,6000000.0,1
20Dresses,2015.0,1000000.0,1
33Coupons,2015.0,20000.0,1
360Ride,2016.0,150000.0,1
3Dexter,2016.0,150000.0,1
3HCare,2017.0,100000.0,1
3HCare,2018.0,1000000.0,1
3rdFlix,2019.0,5000000.0,1
48East,2017.0,500000.0,1
4tigo,2017.0,10000000.0,1
5th Vital,2018.0,500000.0,1
6Degree,2015.0,0.0,0
6Degree,2016.0,200000.0,1
75F,2019.0,18000000.0,1
91SpringBoard,2016.0,0.0,0
91SpringBoard,2017.0,0.0,0
99Games,2017.0,0.0,0
99PerHour,2017.0,300000.0,1
9Stacks,2017.0,1500000.0,1
A&R Bon Vivants,2018.0,1000000.0,1
ABI Health,2017.0,1500000.0,1
AEON Learning,2018.0,3200000.0,1
AHA Taxis,2015.0,0.0,0
AYE Finance,2017.0,6900000.0,1
AadharAPI.com,2017.0,0.0,0
Aadyah,2017.0,1000000.0,1
Aahaa,2016.0,1000000.0,1
Aahaa Stores,2017.0,1000000.0,1
Aarav UAV,2016.0,0.0,0
Aasaanjobs,2015.0,1500000.0,1
Aasaanjobs,2016.0,5000000.0,1
Aashiyaan,2018.0,2000000.0,1
Aavishkaar-Intellecap Group,2018.0,31000000.0,1
AbeRuk,2016.0,0.0,0
Abhibus,2015.0,0.0,0
Absentia,2015.0,180000.0,1
Absentia VR,2017.0,1250000.0,1
Ace Turtle,2017.0,5000000.0,1
Ace2three,2017.0,73700000.0,1
Acko,2018.0,12000000.0,1
ActOnMagic,2016.0,125000.0,1
Actionable Analytics,2015.0,0.0,0
Active AI,2017.0,8250000.0,1
Active.ai,2016.0,3500000.0,2
Actofit,2016.0,750000.0,1
Ad2pro,2018.0,9700000.0,1
AdPushUp,2016.0,0.0,0
AdStringO,2015.0,350000.0,1
AdUrCup,2016.0,100000.0,1
AdWyze,2015.0,1000000.0,1
Address Health,2016.0,1500000.0,1
AdmitKard,2019.0,1000000.0,1
Advanced Structures India,2016.0,0.0,0
Advantage Club,2016.0,400000.0,1
Advenio,2016.0,100000.0,1
Adytude,2016.0,1000000.0,1
Aequm,2017.0,1000000.0,1
AerMed,2016.0,0.0,0
Affimity,2016.0,1200000.0,1
Affordplan,2016.0,3500000.0,2
Agara Labs,2019.0,2500000.0,1
AgentDesks,2015.0,2950000.0,1
Agricxlab,2018.0,500000.0,1
Agrostar,2015.0,4000000.0,1
Agrostar,2017.0,10000000.0,1
Agrowave,2017.0,0.0,0
AirCTO,2017.0,0.0,0
AirMed Labs,2017.0,1400000.0,1
AirZaar,2017.0,350000.0,1
Airpay,2017.0,3670000.0,1
Airwood,2016.0,0.0,0
Aisle,2016.0,185000.0,1
Aisle,2017.0,0.0,0
Aisle.co,2015.0,100000.0,1
Akosha,2015.0,16000000.0,1
Alef Mobitech,2016.0,5000000.0,1
AllIzHealth,2015.0,350000.0,1
Allygrow Technologies,2015.0,20000000.0,1
AlmaConnect,2016.0,0.0,0
AlmaMapper,2015.0,400000.0,1
Alpha Capital,2018.0,14800000.0,1
Alteria Capital,2019.0,140000000.0,1
Alternacare,2016.0,500000.0,1
Altizone,2016.0,4000000.0,1
Amagi Media Labs,2015.0,0.0,0
Amagi Media Labs,2016.0,35000000.0,1
Ambee,2017.0,0.0,0
American Vision,2016.0,81000.0,1
Amigobulls,2015.0,0.0,0
Ampere,2015.0,0.0,0
Ampere Vehicles,2015.0,1200000.0,1
Anakage,2015.0,0.0,0
Anandakanda,2016.0,150000.0,1
Anchanto,2017.0,0.0,0
Anchanto,2018.0,4000000.0,1
Annapurna Finance,2018.0,23000000.0,1
Antuit,2015.0,56000000.0,1
AppBrowzer,2017.0,500000.0,1
AppDaily,2016.0,2000000.0,1
AppLop,2016.0,250000.0,1
AppVirality,2015.0,500000.0,1
Appario Retail Pvt Ltd.,2018.0,18840000.0,1
Appbase,2015.0,290000.0,1
Appedo,2015.0,1000000.0,1
Appie,2016.0,1000000.0,1
AppilyEver,2016.0,400000.0,1
Appknox,2016.0,675000.0,1
Applicate,2015.0,550000.0,1
Applicate,2016.0,1000000.0,1
Applied Solar Technologies,2015.0,40000000.0,1
Applop,2015.0,100000.0,1
AppsDaily,2016.0,3750000.0,1
Appsdaily,2015.0,16000000.0,1
Appvigil,2015.0,500000.0,1
Arcatron,2017.0,0.0,0
Arcatron Mobility,2016.0,100000.0,1
Ark Robot,2016.0,350000.0,1
Arkin Net,2015.0,15000000.0,1
Arohan Financial Services,2015.0,10000000.0,1
Arth DesignBuild,2015.0,500000.0,1
Artoo,2015.0,500000.0,1
Arya.ai,2015.0,750000.0,1
Aryaka,2015.0,16000000.0,1
Asia Institute Of Medical Science,2018.0,21000000.0,1
AskMyGift,2015.0,50000.0,1
Asocon,2016.0,0.0,0
Ather Energy,2015.0,12000000.0,1
Ather Energy,2016.0,27000000.0,1
Ather Energy,2019.0,51000000.0,1
Athletto,2016.0,0.0,0
Atlan,2019.0,2500000.0,1
Atomberg,2016.0,1000000.0,1
Atomberg Technology,2019.0,10000000.0,1
Attune Technologies,2015.0,10000000.0,1
Augrav,2016.0,450000.0,1
AutoGrid,2018.0,32000000.0,1
AutoSense,2016.0,0.0,0
Autobix,2017.0,0.0,0
Automation Anywhere,2018.0,300000000.0,1
Autorox.co,2017.0,3000000.0,1
Avagmah,2016.0,0.0,0
Avail Finance,2019.0,9000000.0,1
AvailFinance,2018.0,17200000.0,1
Avanti Learning,2015.0,1500000.0,1
Avanti Learning,2016.0,5000000.0,1
Avenue Growth,2018.0,437000.0,1
Avishkaar Box,2018.0,772500.0,1
Awaaz De,2015.0,0.0,0
Awaaz De,2018.0,0.0,0
Awesummly,2016.0,147000.0,1
Awfis,2017.0,20000000.0,1
Awign,2017.0,0.0,0
Axio,2018.0,7400000.0,1
Axtria,2015.0,30000000.0,1
Aye Finance,2015.0,3000000.0,1
Aye Finance,2017.0,8000000.0,1
Aye Finance,2018.0,6240000.0,1
Aye Finance,2019.0,17411265.0,1
AyeFinance,2018.0,29900000.0,3
Azah,2019.0,200000.0,1
Azuro,2016.0,0.0,0
B9 Beverages,2016.0,6000000.0,1
BHIVE,2016.0,0.0,0
BHIVE Workspace,2017.0,1200000.0,1
BRIDGEi2I,2016.0,0.0,0
BYG,2016.0,0.0,0
BYJU's,2016.0,15000000.0,1
BYJU'S,2020.0,200000000.0,1
Babajobs,2015.0,10000000.0,1
Baby Berry,2016.0,1000000.0,1
BabyChakra,2016.0,0.0,0
Babychakra,2015.0,0.0,0
Babygogo,2016.0,300000.0,1
BabyonBoard,2017.0,0.0,0
Badiyajobs,2016.0,100000.0,1
BaggOut,2016.0,0.0,0
Balance App,2017.0,233000.0,1
Banihal,2015.0,0.0,0
Bank Bazaar,2017.0,7000000.0,1
BankBazaar,2015.0,60000000.0,1
BankerBay,2016.0,2000000.0,1
Bats on delivery,2016.0,90000.0,1
Baxi,2015.0,1450000.0,1
Be U Salons,2017.0,620000.0,1
BeaconsTalk,2015.0,80000.0,1
BeaconsTalk,2016.0,100000.0,1
Beardo,2016.0,500000.0,1
BeatRoute,2016.0,0.0,0
BedBathMore,2016.0,0.0,0
Belita,2015.0,400000.0,1
Belong,2017.0,10000000.0,1
Benepik,2018.0,0.0,0
Bestdealfinance,2015.0,3000000.0,1
BetaOut,2017.0,0.0,0
Betaout,2016.0,1500000.0,1
Better Mortgage,2017.0,15000000.0,1
BetterButter.in,2015.0,0.0,0
BetterPlace,2016.0,970000.0,1
Betterplace,2016.0,0.0,0
Bevy,2015.0,0.0,0
Bewakoof,2015.0,0.0,0
Beyond Evolution,2016.0,0.0,0
Bharat Bazaar,2016.0,0.0,0
BharatPe,2019.0,75000000.0,1
BhiveWorkspace,2016.0,1000000.0,1
BiBox,2015.0,530000.0,1
Bidgely,2015.0,16600000.0,1
Big Basket,2017.0,5000000.0,1
Big Fish Ventures,2016.0,11100000.0,1
BigBasket,2015.0,50000000.0,1
BigBasket,2016.0,150000000.0,1
BigBasket,2017.0,7000000.0,1
BigBasket,2018.0,300000000.0,1
BigStylist,2016.0,900000.0,1
BigStylist,2017.0,1250000.0,1
BigStylist.com,2015.0,1000000.0,1
Bikxie,2016.0,0.0,0
BillDesk,2015.0,75000000.0,1
Billion Loans,2017.0,1000000.0,1
Bira91,2019.0,15600000.0,2
Biryani Blues,2016.0,368000.0,1
Biryani By Kilo,2017.0,375000.0,1
Biryani By Kilo,2018.0,1000000.0,1
BitGiving,2016.0,0.0,0
Bite Club,2015.0,500000.0,1
Biteclub,2015.0,0.0,0
Bitla Software,2018.0,0.0,0
Biz2Credit,2019.0,52000000.0,1
Bizom,2017.0,382000.0,1
Bizongo,2015.0,0.0,0
Bizongo,2016.0,3000000.0,1
Bizongo,2018.0,22000000.0,1
Black Soil,2018.0,17000000.0,1
Black White Orange,2015.0,303000.0,1
Black White Orange Brands,2015.0,0.0,0
BlackBuck,2015.0,25000000.0,1
BlackBuck,2017.0,7700000.0,1
BlackBuck,2019.0,150000000.0,1
Blackbuck,2017.0,70000000.0,1
Blackbuck,2018.0,15680000.0,2
Blinge,2016.0,0.0,0
BlogBeats,2016.0,0.0,0
Blood n Care,2017.0,40000.0,1
Blowhorn,2017.0,3650000.0,1
Blubox,2015.0,100000.0,1
Blue Box Media,2016.0,0.0,0
Blue Tokai Coffee,2016.0,0.0,0
BlueStone,2016.0,30000000.0,1
Bluebirch,2015.0,2000000.0,1
Bluegape,2015.0,200000.0,1
Bluegape.com,2015.0,600000.0,1
Board Infinity,2019.0,319605.0,1
Bobble,2015.0,0.0,0
BoiBanit,2016.0,0.0,0
BolRealty,2015.0,0.0,0
Bollant Industries,2016.0,0.0,0
Bolo App,2019.0,430200.0,1
Bombay Shaving Company,2016.0,600000.0,1
Bombay Shaving Company,2017.0,2300000.0,1
Bombay Shirt Company,2016.0,1000000.0,1
Bona Vita,2015.0,5000000.0,1
Bonhomia,2015.0,2000000.0,1
Bonhomia,2016.0,1000000.0,1
Bonphulapl,2018.0,293000.0,1
Book My Diamond,2017.0,0.0,0
Book My Show,2018.0,100000000.0,1
Book Servicing,2017.0,30000.0,1
BookEventz,2015.0,0.0,0
BookEventz,2016.0,0.0,0
BookMeIn,2015.0,400000.0,1
BookMyBai,2015.0,150000.0,1
BookMyShow,2016.0,82000000.0,1
Bottr.me,2017.0,0.0,0
Bounty App,2015.0,0.0,0
Box My Space,2017.0,0.0,0
Box8,2015.0,3500000.0,1
Box8,2016.0,7500000.0,1
Box8,2017.0,1000000.0,1
Boxmyspace,2015.0,300000.0,1
Boxx.ai,2017.0,500000.0,1
Brick2Wall,2017.0,200000.0,1
Brigge,2015.0,0.0,0
Briston Technomach,2015.0,150000.0,1
Bro4U,2015.0,0.0,0
BroEx,2015.0,1000000.0,1
Broomberg,2016.0,0.0,0
Browntape,2016.0,0.0,0
BrowserStack,2018.0,50000000.0,1
Bucker,2016.0,0.0,0
Buddy,2016.0,500000.0,1
Buddy4studdy,2018.0,3000000.0,1
Bueno,2015.0,600000.0,1
BuildSupply,2018.0,3500000.0,1
BuildTraders,2016.0,200000.0,1
Buildkar,2016.0,0.0,0
Buildzar,2016.0,4000000.0,1
Bumper,2015.0,500000.0,1
Burger Singh,2015.0,500000.0,1
Burger Singh,2019.0,0.0,0
Buttercups,2015.0,0.0,0
Buttercups,2016.0,0.0,0
Butterfly Interactive,2015.0,0.0,0
BuyHatke,2015.0,1000000.0,1
Byju's,2016.0,125000000.0,2
Byju's,2017.0,35000000.0,1
CAKART.in,2015.0,0.0,0
CBREX,2015.0,200000.0,1
CBS,2015.0,16000.0,1
CCAvenue,2017.0,22400000.0,1
CCavenue,2016.0,8900000.0,1
CREO,2016.0,3000000.0,1
CRON Systems,2017.0,0.0,0
CaRPM,2015.0,100000.0,1
Cabsguru,2015.0,200000.0,1
Call Health,2017.0,6200000.0,1
Campus Diaries,2016.0,220000.0,1
CanvasFlip,2015.0,1200000.0,1
Canvera,2015.0,2200000.0,1
Canvera,2016.0,3000000.0,1
Canvera,2017.0,1300000.0,1
Canvs,2016.0,0.0,0
Capabiliti,2015.0,400000.0,1
Capillary,2018.0,20000000.0,1
Capillary Tech,2015.0,45000000.0,1
Capita World,2017.0,0.0,0
Capital Float,2015.0,13000000.0,1
