Investor,Year,TotalInvested_USD,DealsCount
Westbridge Capital,2019.0,3900000000.0,1
Softbank,2017.0,2500000000.0,1
Accel Partners,2015.0,2188350000.0,21
\\xc2\\xa0Tiger Global,2015.0,2020000000.0,1
\\xc2\\xa0IndianIdeas.com,2015.0,2019350000.0,1
\\xc2\\xa0IvyCap Ventures,2015.0,2016200000.0,1
Dragoneer Investment Group,2015.0,2016200000.0,1
\\xc2\\xa0Goldman Sachs,2015.0,2010000000.0,1
Tiger Global,2015.0,1704400000.0,20
SoftBank Group,2017.0,1650000000.0,2
Tencent Holdings,2017.0,1435000000.0,2
Microsoft,2017.0,1400000000.0,1
eBay,2017.0,1400000000.0,1
Sequoia Capital,2015.0,1158250000.0,43
Vijay Shekhar Sharma,2019.0,1000000000.0,1
Softbank,2015.0,945000000.0,4
DST Global,2015.0,900000000.0,2
Falcon Edge Capital,2015.0,850000000.0,5
Altimeter Capital,2019.0,720000000.0,2
Steadview Capital,2015.0,700000000.0,4
Steadview Capital and existing investors,2015.0,700000000.0,1
Ant Financial,2015.0,680000000.0,1
Alibaba Group,2015.0,680000000.0,1
SoftBank Group,2015.0,600000000.0,2
DST Global,2019.0,585000000.0,1
Didi Kuaidi,2015.0,530000000.0,2
Lightspeed Venture Partners,2017.0,509100000.0,4
Foxconn,2015.0,509000000.0,2
Baillie Gifford,2015.0,500000000.0,1
Alibaba,2015.0,500000000.0,1
Bennett Coleman and Company Ltd (BCCL),2019.0,450000000.0,1
Accel Partners & Others,2015.0,400000000.0,1
Sequoia Capital India,2017.0,363800000.0,6
SoftBank Group Corp,2017.0,330000000.0,1
Tiger Global Management,2015.0,322900000.0,13
Bessemer Venture Partners,2018.0,312000000.0,2
SoftBank Vision Fund,2018.0,300000000.0,1
Alibaba,2018.0,300000000.0,1
Ascent Capital,2018.0,300000000.0,1
Helion Venture Partners,2018.0,300000000.0,1
Matrix Partners,2019.0,292000000.0,2
Kalaari Capital,2019.0,283000000.0,1
Stellaris Venture Partners,2019.0,283000000.0,1
Undisclosed investors,2017.0,271478000.0,4
SIMI Pacific Pte,2017.0,260000000.0,1
Goldman Sachs,2015.0,256000000.0,3
Matrix Partners,2015.0,254600000.0,11
Sequoia Capital,2016.0,250250000.0,13
Sequoia Capital India Advisors,2017.0,250000000.0,1
Greenoaks Capital,2017.0,250000000.0,1
Hero Enterprise,2017.0,250000000.0,1
Greenoaks Capital Partners,2017.0,250000000.0,1
SoftBank Vision Fund,2017.0,250000000.0,1
SAIF Partners,2015.0,237300000.0,23
SoftBank Group,2016.0,237000000.0,2
SoftBank Vision Fund,2019.0,231000000.0,1
Nexus Venture Partners,2015.0,228700000.0,13
Accel Partners,2017.0,227150000.0,16
and Sofina,2019.0,226000000.0,1
Sequoia Capital and Temasek Holdings,2019.0,226000000.0,1
Burda Principal Investments,2019.0,226000000.0,1
EDBI,2019.0,226000000.0,1
NY based Hedge Fund,2015.0,225000000.0,1
DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,2018.0,225000000.0,1
Accel Partners,2018.0,220830000.0,6
Amour Infrastructure,2019.0,220000000.0,1
Warburg Pincus,2016.0,220000000.0,2
Accel Partners,2016.0,219350000.0,15
Tiger Global,2016.0,215000000.0,3
\\xc2\\xa0Forum Synergies PE Fund,2015.0,205000000.0,1
Ontario Teachers\\xe2\\x80\\x99 Pension Plan & Others,2016.0,200000000.0,1
Tiger Global Management,2020.0,200000000.0,1
SoftBank Vision Fund & Info Edge (India) Ltd,2018.0,200000000.0,1
Ant Financials,2018.0,200000000.0,1
IAN Fund and DSG Consumer Partners,2019.0,200000000.0,1
Alibaba,2017.0,200000000.0,1
Global Institutional Investors,2017.0,200000000.0,1
Warburg Pincus,2015.0,182000000.0,2
Ctrip.com International Ltd,2016.0,180000000.0,1
Foxconn Technology Group,2016.0,175000000.0,1
Bharti Enterprises,2016.0,175000000.0,1
Tencent Holdings,2016.0,175000000.0,1
Sequoia India,2016.0,171000000.0,7
Tiger Global Management,2019.0,166500000.0,5
Tencent,2017.0,165000000.0,2
SAIF Partners,2016.0,164650000.0,13
Lightspeed Venture Partners,2016.0,163500000.0,4
Bessemer Venture Partners,2017.0,160800000.0,7
Zodius Technology Fund,2015.0,160000000.0,3
Mousse Partners,2015.0,160000000.0,2
Helion Venture Partners,2015.0,157250000.0,11
Lighthouse,2018.0,157200000.0,1
Kalaari Capital,2015.0,150750000.0,17
Norwest Venture Partners,2015.0,150500000.0,6
Sands Capital and International Finance Corporation,2019.0,150000000.0,1
B Capital,2019.0,150000000.0,1
Sequoia,2019.0,150000000.0,1
Investment AB Kinnevik,2015.0,150000000.0,1
CapitalG,2019.0,150000000.0,1
Ant Financial,2020.0,150000000.0,1
Accel,2019.0,150000000.0,1
Wellington,2019.0,150000000.0,1
Goldman Sachs Investment Partners and Silicon Valley-based Accel,2019.0,150000000.0,1
LightStreet,2019.0,150000000.0,1
Abraaj Group,2016.0,150000000.0,1
Sequoia Capital,2019.0,150000000.0,1
Qatar Investment Authority,2019.0,150000000.0,1
SAIF Partners,2017.0,147800000.0,7
Sequoia India,2019.0,145500000.0,4
March Capital,2016.0,145000000.0,1
Temasek Holdings,2016.0,145000000.0,1
Binny Bansal,2019.0,144000000.0,3
Equanimity Ventures,2019.0,140000000.0,1
Azim Premji,2019.0,140000000.0,1
Sutter Hill Ventures,2019.0,135000000.0,1
Tybourne Capital,2015.0,130000000.0,2
Times Internet,2015.0,128600000.0,5
Norwest Venture Partners,2018.0,127799000.0,2
Naspers,2019.0,125000000.0,1
Sofina,2016.0,125000000.0,2
TA Associates,2015.0,125000000.0,2
Sofina,2015.0,120000000.0,2
Temasek,2015.0,120000000.0,2
Apoletto Managers,2015.0,120000000.0,1
Kalaari Capital and Others,2018.0,120000000.0,1
IDG Ventures,2018.0,120000000.0,1
Nexus Venture Partners,2016.0,115500000.0,4
Yuri Milner,2015.0,115000000.0,2
Khazanah Nasional Berhad,2015.0,115000000.0,2
Tencent Holdings Ltd,2018.0,115000000.0,1
Times Internet,2018.0,115000000.0,1
Flipkart,2017.0,110700000.0,3
Softbank Group,2017.0,110000000.0,1
Hillhouse Capital,2019.0,110000000.0,1
RPS Ventures,2019.0,110000000.0,1
